ticker,date,open,high,low,close,adj_close,volume,synthetic_warning,prediction_date_marker
MSFT,2025-01-07,74.800000,75.500000,74.500000,75.000000,75.000000,1000000,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-01-07,169.800000,170.500000,169.500000,170.000000,170.000000,2000000,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-01-08,74.896838,75.596838,74.596838,75.096838,75.096838,1000100,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-01-08,169.916601,170.616601,169.616601,170.116601,170.116601,2000100,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-01-09,74.993676,75.693676,74.693676,75.193676,75.193676,1000200,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-01-09,170.033202,170.733202,169.733202,170.233202,170.233202,2000200,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-01-10,75.090514,75.790514,74.790514,75.290514,75.290514,1000300,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-01-10,170.149802,170.849802,169.849802,170.349802,170.349802,2000300,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-01-13,75.187352,75.887352,74.887352,75.387352,75.387352,1000400,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-01-13,170.266403,170.966403,169.966403,170.466403,170.466403,2000400,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-01-14,75.284190,75.984190,74.984190,75.484190,75.484190,1000500,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-01-14,170.383004,171.083004,170.083004,170.583004,170.583004,2000500,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-01-15,75.381028,76.081028,75.081028,75.581028,75.581028,1000600,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-01-15,170.499605,171.199605,170.199605,170.699605,170.699605,2000600,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-01-16,75.477866,76.177866,75.177866,75.677866,75.677866,1000700,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-01-16,170.616206,171.316206,170.316206,170.816206,170.816206,2000700,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-01-17,75.574704,76.274704,75.274704,75.774704,75.774704,1000800,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-01-17,170.732806,171.432806,170.432806,170.932806,170.932806,2000800,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-01-20,75.671542,76.371542,75.371542,75.871542,75.871542,1000900,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-01-20,170.849407,171.549407,170.549407,171.049407,171.049407,2000900,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-01-21,75.768379,76.468379,75.468379,75.968379,75.968379,1001000,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-01-21,170.966008,171.666008,170.666008,171.166008,171.166008,2001000,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-01-22,75.865217,76.565217,75.565217,76.065217,76.065217,1001100,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-01-22,171.082609,171.782609,170.782609,171.282609,171.282609,2001100,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-01-23,75.962055,76.662055,75.662055,76.162055,76.162055,1001200,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-01-23,171.199209,171.899209,170.899209,171.399209,171.399209,2001200,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-01-24,76.058893,76.758893,75.758893,76.258893,76.258893,1001300,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-01-24,171.315810,172.015810,171.015810,171.515810,171.515810,2001300,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-01-27,76.155731,76.855731,75.855731,76.355731,76.355731,1001400,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-01-27,171.432411,172.132411,171.132411,171.632411,171.632411,2001400,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-01-28,76.252569,76.952569,75.952569,76.452569,76.452569,1001500,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-01-28,171.549012,172.249012,171.249012,171.749012,171.749012,2001500,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-01-29,76.349407,77.049407,76.049407,76.549407,76.549407,1001600,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-01-29,171.665613,172.365613,171.365613,171.865613,171.865613,2001600,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-01-30,76.446245,77.146245,76.146245,76.646245,76.646245,1001700,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-01-30,171.782213,172.482213,171.482213,171.982213,171.982213,2001700,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-01-31,76.543083,77.243083,76.243083,76.743083,76.743083,1001800,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-01-31,171.898814,172.598814,171.598814,172.098814,172.098814,2001800,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-03,76.639921,77.339921,76.339921,76.839921,76.839921,1001900,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-03,172.015415,172.715415,171.715415,172.215415,172.215415,2001900,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-04,76.736759,77.436759,76.436759,76.936759,76.936759,1002000,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-04,172.132016,172.832016,171.832016,172.332016,172.332016,2002000,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-05,76.833597,77.533597,76.533597,77.033597,77.033597,1002100,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-05,172.248617,172.948617,171.948617,172.448617,172.448617,2002100,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-06,76.930435,77.630435,76.630435,77.130435,77.130435,1002200,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-06,172.365217,173.065217,172.065217,172.565217,172.565217,2002200,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-07,77.027273,77.727273,76.727273,77.227273,77.227273,1002300,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-07,172.481818,173.181818,172.181818,172.681818,172.681818,2002300,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-10,77.124111,77.824111,76.824111,77.324111,77.324111,1002400,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-10,172.598419,173.298419,172.298419,172.798419,172.798419,2002400,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-11,77.220949,77.920949,76.920949,77.420949,77.420949,1002500,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-11,172.715020,173.415020,172.415020,172.915020,172.915020,2002500,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-12,77.317787,78.017787,77.017787,77.517787,77.517787,1002600,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-12,172.831621,173.531621,172.531621,173.031621,173.031621,2002600,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-13,77.414625,78.114625,77.114625,77.614625,77.614625,1002700,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-13,172.948221,173.648221,172.648221,173.148221,173.148221,2002700,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-14,77.511462,78.211462,77.211462,77.711462,77.711462,1002800,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-14,173.064822,173.764822,172.764822,173.264822,173.264822,2002800,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-17,77.608300,78.308300,77.308300,77.808300,77.808300,1002900,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-17,173.181423,173.881423,172.881423,173.381423,173.381423,2002900,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-18,77.705138,78.405138,77.405138,77.905138,77.905138,1003000,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-18,173.298024,173.998024,172.998024,173.498024,173.498024,2003000,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-19,77.801976,78.501976,77.501976,78.001976,78.001976,1003100,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-19,173.414625,174.114625,173.114625,173.614625,173.614625,2003100,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-20,77.898814,78.598814,77.598814,78.098814,78.098814,1003200,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-20,173.531225,174.231225,173.231225,173.731225,173.731225,2003200,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-21,77.995652,78.695652,77.695652,78.195652,78.195652,1003300,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-21,173.647826,174.347826,173.347826,173.847826,173.847826,2003300,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-24,78.092490,78.792490,77.792490,78.292490,78.292490,1003400,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-24,173.764427,174.464427,173.464427,173.964427,173.964427,2003400,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-25,78.189328,78.889328,77.889328,78.389328,78.389328,1003500,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-25,173.881028,174.581028,173.581028,174.081028,174.081028,2003500,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-26,78.286166,78.986166,77.986166,78.486166,78.486166,1003600,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-26,173.997628,174.697628,173.697628,174.197628,174.197628,2003600,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-27,78.383004,79.083004,78.083004,78.583004,78.583004,1003700,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-27,174.114229,174.814229,173.814229,174.314229,174.314229,2003700,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-02-28,78.479842,79.179842,78.179842,78.679842,78.679842,1003800,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-02-28,174.230830,174.930830,173.930830,174.430830,174.430830,2003800,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-03-03,78.576680,79.276680,78.276680,78.776680,78.776680,1003900,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-03-03,174.347431,175.047431,174.047431,174.547431,174.547431,2003900,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-03-04,78.673518,79.373518,78.373518,78.873518,78.873518,1004000,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-03-04,174.464032,175.164032,174.164032,174.664032,174.664032,2004000,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-03-05,78.770356,79.470356,78.470356,78.970356,78.970356,1004100,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-03-05,174.580632,175.280632,174.280632,174.780632,174.780632,2004100,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-03-06,78.867194,79.567194,78.567194,79.067194,79.067194,1004200,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
SPY,2025-03-06,174.697233,175.397233,174.397233,174.897233,174.897233,2004200,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
MSFT,2025-03-07,78.964032,79.664032,78.664032,79.164032,79.164032,1004300,SYNTHETIC DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL,
