ticker,date,open,high,low,close,adj_close,volume
MSFT,2025-07-07,100,100,100,100,100,1000000
MSFT,2025-07-08,101,101,101,101,101,1000000
MSFT,2025-07-09,102,102,102,102,102,1000000
MSFT,2025-07-10,103,103,103,103,103,1000000
MSFT,2025-07-11,104,104,104,104,104,1000000
MSFT,2025-07-14,105,105,105,105,105,1000000
MSFT,2025-07-15,106,106,106,106,106,1000000
MSFT,2025-07-16,107,107,107,107,107,1000000
MSFT,2025-07-17,108,108,108,108,108,1000000
MSFT,2025-07-18,109,109,109,109,109,1000000
MSFT,2025-07-21,110,110,110,110,110,1000000
MSFT,2025-07-22,111,111,111,111,111,1000000
MSFT,2025-07-23,112,112,112,112,112,1000000
MSFT,2025-07-24,113,113,113,113,113,1000000
MSFT,2025-07-25,114,114,114,114,114,1000000
MSFT,2025-07-28,115,115,115,115,115,1000000
MSFT,2025-07-29,116,116,116,116,116,1000000
MSFT,2025-07-30,117,117,117,117,117,1000000
MSFT,2025-07-31,118,118,118,118,118,1000000
MSFT,2025-08-01,119,119,119,119,119,1000000
MSFT,2025-08-04,120,120,120,120,120,1000000
MSFT,2025-08-05,121,121,121,121,121,1000000
MSFT,2025-08-06,122,122,122,122,122,1000000
MSFT,2025-08-07,123,123,123,123,123,1000000
MSFT,2025-08-08,124,124,124,124,124,1000000
MSFT,2025-08-11,125,125,125,125,125,1000000
MSFT,2025-08-12,126,126,126,126,126,1000000
MSFT,2025-08-13,127,127,127,127,127,1000000
MSFT,2025-08-14,128,128,128,128,128,1000000
MSFT,2025-08-15,129,129,129,129,129,1000000
MSFT,2025-08-18,130,130,130,130,130,1000000
MSFT,2025-08-19,131,131,131,131,131,1000000
MSFT,2025-08-20,132,132,132,132,132,1000000
MSFT,2025-08-21,133,133,133,133,133,1000000
MSFT,2025-08-22,134,134,134,134,134,1000000
MSFT,2025-08-25,135,135,135,135,135,1000000
MSFT,2025-08-26,136,136,136,136,136,1000000
MSFT,2025-08-27,137,137,137,137,137,1000000
MSFT,2025-08-28,138,138,138,138,138,1000000
MSFT,2025-08-29,139,139,139,139,139,1000000
MSFT,2025-09-01,140,140,140,140,140,1000000
MSFT,2025-09-02,141,141,141,141,141,1000000
MSFT,2025-09-03,142,142,142,142,142,1000000
MSFT,2025-09-04,143,143,143,143,143,1000000
MSFT,2025-09-05,144,144,144,144,144,1000000
MSFT,2025-09-08,145,145,145,145,145,1000000
